Numéro,Addresse,"Code postal","Code commune",Commune,"Nombre de votant","Nombre de logements sociaux","Âge moyen","Nuance NUPES relatif au bureau de vote","Revenu moyen","abstention européennes relatif au bureau de vote","LFI européennes 2024 relatif au bureau de vote","LFI présidentielle 2022 relatif au bureau de vote",Score,Latitude,Longitude
1,"Allée Georges Politzer",92000,92050,Nanterre,13,18,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,47,48.893359,2.208071
11,"Allée Georges Politzer",92000,92050,Nanterre,16,16,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,47,48.892874,2.208697
146,"Rue du 8 Mai 1945",92000,92050,Nanterre,16,18,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,47,48.893459,2.207982
148,"Rue du 8 Mai 1945",92000,92050,Nanterre,13,18,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,47,48.893594,2.207999
150,"Rue du 8 Mai 1945",92000,92050,Nanterre,13,18,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,47,48.893702,2.207991
167,"Avenue Frédéric et Irène Joliot Curie",92000,92050,Nanterre,1,0,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,10,48.897071,2.216246
19,"Allée Georges Politzer",92000,92050,Nanterre,7,10,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,45,48.893116,2.208996
21,"Allée Georges Politzer",92000,92050,Nanterre,9,10,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,45,48.893232,2.209178
23,"Allée Georges Politzer",92000,92050,Nanterre,6,10,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,45,48.893325,2.209359
25,"Allée Georges Politzer",92000,92050,Nanterre,5,10,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,45,48.893419,2.209527
27,"Allée Georges Politzer",92000,92050,Nanterre,9,10,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,45,48.89348,2.209551
29,"Allée Georges Politzer",92000,92050,Nanterre,8,10,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,45,48.893569,2.209548
3,"Allée Georges Politzer",92000,92050,Nanterre,12,17,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,47,48.893268,2.208193
31,"Allée Georges Politzer",92000,92050,Nanterre,8,10,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,45,48.893717,2.20954
33,"Allée Georges Politzer",92000,92050,Nanterre,7,10,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,45,48.893862,2.209541
35,"Allée Georges Politzer",92000,92050,Nanterre,10,10,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,45,48.893997,2.209552
45,"Avenue Frédéric et Irène Joliot Curie",92000,92050,Nanterre,39,72,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,46,48.890142,2.205015
47,"Avenue Frédéric et Irène Joliot Curie",92000,92050,Nanterre,31,32,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,43,48.890542,2.20453
49,"Avenue Frédéric et Irène Joliot Curie",92000,92050,Nanterre,32,31,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,46,48.890772,2.204972
5,"Allée Georges Politzer",92000,92050,Nanterre,11,16,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,47,48.893156,2.208334
51,"Avenue Frédéric et Irène Joliot Curie",92000,92050,Nanterre,17,19,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,45,48.890678,2.20527
55,"Avenue Frédéric et Irène Joliot Curie",92000,92050,Nanterre,36,72,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,46,48.890784,2.206097
7,"Allée Georges Politzer",92000,92050,Nanterre,15,16,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,47,48.893062,2.208448
71,"Avenue Frédéric et Irène Joliot Curie",92000,92050,Nanterre,13,17,0,"Mixte gauche/droite","Quartier plus populaire",58,40.37,48.42,44,48.892044,2.208154
